"2017-07-24 22:03:43 [main] INFO  c.e.d.SpringMondodbTest1Application - Starting SpringMondodbTest1Application on ishank with PID 1108 (C:\Users\Ishan\Documents\workspace-sts-3.8.4.RELEASE\spring-mondodb-test1\target\classes started by Ishan in C:\Users\Ishan\Documents\workspace-sts-3.8.4.RELEASE\spring-mondodb-test1)
""2017-07-24 22:03:43 [main] INFO  c.e.d.SpringMondodbTest1Application - No active profile set, falling back to default profiles: default
""2017-07-24 22:03:43 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@10b48321: startup date [Mon Jul 24 22:03:43 IST 2017]; root of context hierarchy
""2017-07-24 22:03:45 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-07-24 22:03:45 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-07-24 22:03:45 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.15
""2017-07-24 22:03:45 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-07-24 22:03:45 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2208 ms
""2017-07-24 22:03:45 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-07-24 22:03:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-07-24 22:03:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-07-24 22:03:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-07-24 22:03:45 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-07-24 22:03:46 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
""2017-07-24 22:03:46 [main] INFO  org.mongodb.driver.cluster - Adding discovered server localhost:27017 to client view of cluster
""2017-07-24 22:03:46 [cluster-ClusterId{value='5976216ad02bdf04543fc304', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:7}] to localhost:27017
""2017-07-24 22:03:46 [cluster-ClusterId{value='5976216ad02bdf04543fc304', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 6]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, roundTripTimeNanos=1369349}
""2017-07-24 22:03:46 [cluster-ClusterId{value='5976216ad02bdf04543fc304', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Discovered cluster type of STANDALONE
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@10b48321: startup date [Mon Jul 24 22:03:43 IST 2017]; root of context hierarchy
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[],methods=[POST]}" onto public void com.example.demo.Controller.HotelController.update(com.example.demo.model.Hotel)
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[],methods=[PUT]}" onto public void com.example.demo.Controller.HotelController.addInfo(com.example.demo.model.Hotel)
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/all],methods=[GET]}" onto public java.util.List<com.example.demo.model.Hotel> com.example.demo.Controller.HotelController.getAll()
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/{id}],methods=[DELETE]}" onto public void com.example.demo.Controller.HotelController.deleteData(java.lang.String)
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/hotels]}" onto public com.example.demo.model.Hotel com.example.demo.Controller.HotelController.sayHi()
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2017-07-24 22:03:47 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
